iter	Passed	Remaining
976	10032	236
977	10034	225
978	10036	215
979	10063	205
980	10065	194
981	10067	184
982	10069	174
983	10071	163
984	10074	153
985	10076	143
986	10078	132
987	10080	122
988	10087	112
989	10093	101
990	10095	91
991	10098	81
992	10101	71
993	10150	61
994	10152	51
995	10153	40
996	10156	30
997	10159	20
998	10161	10
999	10163	0
